#ID;FFM;BIC;#FFM;#BIC;FoundSZZ;FoundSZZ-1;Earliest;Latest;NumPC;SZZFP;SZZFN;SZZTP;SZZFP;SZZFN;SZZTP;SZZFP;SZZFN;SZZTP;SZZFP;SZZFN;SZZTP
200;0;1;0;cb0d7d4;1;1;cb0d7d4;dfab822;4;3;0;1;3;0;1;0;0;1;1;1;0
764;0;1;0;4c34840;1;1;4c34840;4c34840;1;0;0;1;0;0;1;0;0;1;0;0;1
864;0;1;0;8f32467;1;1;8f32467;8f32467;1;0;0;1;0;0;1;0;0;1;0;0;1
1072;1;0;0;0;0;0;2f4b759;2f4b759;1;1;0;0;1;0;0;1;0;0;1;0;0
1134;0;1;0;61ad8b6;1;1;61ad8b6;61ad8b6;1;0;0;1;0;0;1;0;0;1;0;0;1
1154;0;1;0;b3337c3;1;1;b3337c3;3b5b4b4;3;2;0;1;2;0;1;0;0;1;1;1;0
1162;0;1;0;d4547c629;1;1;d4547c629;d4547c629;1;0;0;1;0;0;1;0;0;1;0;0;1
1380;0;1;0;adc3dc0;1;1;65197ba;adc3dc0;2;1;0;1;1;0;1;1;1;0;0;0;1
1626;0;1;0;4180a7f7;1;1;4180a7f7;4180a7f7;1;0;0;1;0;0;1;0;0;1;0;0;1
1725;0;1;0;bd6b89f7cab39a;1;1;4e4495f;6a71eab51;4;3;0;1;3;0;1;1;1;0;1;1;0
1814;0;1;0;14237317fce;1;1;86c3a40;656c398;7;6;0;1;6;0;1;1;1;0;1;1;0
1948;0;1;0;3b967040da2;0;0;b4e5a542f;aeae380258;3;3;1;0;3;1;0;1;1;0;1;1;0
1960;0;1;0;ebd6316;1;1;b3337c3;6a71eab;8;7;0;1;7;0;1;1;1;0;1;1;0
2566;0;1;0;2442e1fb;0;0;New lines;New lines;0;0;1;0;0;1;0;0;1;0;0;1;0
2608;0;1;0;167d358;0;0;New lines;New lines;0;0;1;0;0;1;0;0;1;0;0;1;0
2991;0;1;0;7397007;0;0;365cde8;365cde8;1;1;1;0;1;1;0;1;1;0;1;1;0
3242;0;1;0;05e0b4d4e;0;0;New lines;New lines;0;0;1;0;0;1;0;0;1;0;0;1;0
3267;0;1;0;9bf686e;1;1;9bf686e;9bf686e;1;0;0;1;0;0;1;0;0;1;0;0;1
3551;1;0;0;0;0;0;2ed87b5;b199471;2;2;0;0;2;0;0;1;0;0;1;0;0
3560;0;1;0;4930b93;0;0;New lines;New lines;0;0;1;0;0;1;0;0;1;0;0;1;0
3820;1;0;0;0;0;0;bccf0b1;bccf0b1;1;1;0;0;1;0;0;1;0;0;1;0;0
4581;0;1;0;f444ed4;0;0;ac25317;ac25317;5;5;1;0;5;1;0;1;1;0;1;1;0
4814;0;1;0;4271d57;1;1;4271d57;4271d57;1;0;0;1;0;0;1;0;0;1;0;0;1
5021;0;1;0;c7f6c5266;1;1;c7f6c5266;c7f6c5266;1;0;0;1;0;0;1;0;0;1;0;0;1
5048;0;1;0;c7f6c52;1;1;c7f6c52;c7f6c52;1;0;0;1;0;0;1;0;0;1;0;0;1
5165;0;1;0;3ca0239;1;1;5649df5;3ca0239;4;3;0;1;3;0;1;1;1;0;0;0;1
5948;0;1;0;b35ca1a;1;1;f16eb7a;d4f0323;3;2;0;1;2;0;1;1;1;0;1;1;0
6018;1;0;0;0;0;0;2880cd0;2755eec;2;2;0;0;2;0;0;1;0;0;1;0;0
7623;0;1;0;575250e;1;1;bd6b89f;575000ef5;6;5;0;1;5;0;1;1;1;0;0;0;1
7640;1;0;?;0;0;0;19abe7a;08521a4;2;2;0;0;2;0;0;1;0;0;1;0;0
7686;0;1;0;c3f3c26;1;1;c3f3c26;c4bed91;3;2;0;1;2;0;1;0;0;1;1;1;0
8125;0;1;0;61c21f9;1;1;056ad0a;61c21f9;3;2;0;1;2;0;1;1;1;0;0;0;1
8438;0;1;0;3c9c9f33;1;1;c7f6c52;3c9c9f3;2;1;0;1;1;0;1;1;1;0;0;0;1
8507;0;1;0;3c142e5;1;1;3c142e5;3c142e5;1;0;0;1;0;0;1;0;0;1;0;0;1
8526;0;1;0;5aa0a8438f;0;1;58e68db;cd4aea8;2;2;1;0;1;0;1;0;0;1;1;1;0
8580;0;1;0;3c142e5;1;1;3c142e5;3c142e5;1;0;0;1;0;0;1;0;0;1;0;0;1
8893;0;1;0;85eb0ea;1;1;4fa8f6f;85eb0ea;2;1;0;1;1;0;1;1;1;0;0;0;1
9317;0;1;0;5714b0a;1;1;c7f6c52;5714b0a;2;1;0;1;1;0;1;1;1;0;0;0;1
12193;0;1;0;15a62448;0;0;New lines;New lines;0;0;1;0;0;1;0;0;1;0;0;1;0
14782;0;1;0;904cbf534;0;0;New lines;New lines;0;0;1;0;0;1;0;0;1;0;0;1;0
15858;0;1;0;0cde90fcb10c9;0;0;New lines;New lines;0;0;1;0;0;1;0;0;1;0;0;1;0
16246;0;1;0;57d6971;1;1;57d6971;57d6971;1;0;0;1;0;0;1;0;0;1;0;0;1
16790;0;1;0;1e209e3802;0;0;a052dfe;a052dfe;1;1;1;0;1;1;0;1;1;0;1;1;0
;;;;;;;;;85;59;12;26;58;11;27;20;22;16;17;19;19
