#ID,FFM,BIC,#FFM,#BIC,FoundSZZ,FoundSZZ-1,Earliest,Latest,NumPC,SZZFP,SZZFN,SZZTP,ALOBIC,SZZ-1FP,SZZ-1FN,SZZ-1TP,ALOBIC,SZZ-1EFP,SZZ-1EFN,SZZ-1ETP,SZZ-1EFP,SZZ-1EFN,SZZ-1ETP
1294939,0,1,0,542958fac7445a14dea,0,0,New Lines,New Lines,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1300788,0,1,0,e517e5668ab,0,0,New Lines,New Lines,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1305897,1,0,0,0,0,0,73da55e,73da55e,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1307791,0,1,0,3dff4335661,1,1,64e167e,1e8df2f,7,6,0,1,0,6,0,1,0,1,1,0,1,1,0
1314677,0,1,0,88ab936,1,1,88ab936,84b02ca,2,1,0,1,0,1,0,1,0,0,0,1,1,1,0
1336127,0,1,0,2c62e34,1,1,2c62e34,5ad1af7,2,1,0,1,0,1,0,1,0,0,0,1,1,1,0
1343080,0,1,0,e7aa4022374fb35d2131a7c633212c5d6302db3d,FP+FN,1,b957a35,c1ae5e0,7,7,1,0,0,6,0,1,0,1,1,0,1,1,0
1350224,1,0,0,0,0,0,dd52437,942b9cd,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0
1367363,0,1,0,0fcbb7b,1,1,0fcbb7b,0fcbb7b,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
1370177,0,1,0,33e3d4c6b9,1,1,33e3d4c6b9,33e3d4c6b9,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
1370590,0,1,0,7326bac8f95,1,1,1690a1a,80deed6,5,4,0,1,0,4,0,1,0,1,1,0,1,1,0
1371677,0,1,0,5fa74bc,1,1,5fa74bc,5fa74bc,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
1373741,1,0,a1baa24,0,0,0,New Lines,New Lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375379,0,1,0,e71e8c2,1,1,e71e8c2,e71e8c2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
1381468,0,1,0,30871e870,1,1,30871e870,30871e870,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
1382630,1,0,0,0,0,0,b199471,dce6468,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0
1392798,0,1,0,a9d0313c,0,0,New Lines,New Lines,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1402535,0,1,0,933365a58,0,1,fc786dd,fc786dd,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1
1402728,0,1,0,2bcda65d512,1,1,2bcda65,f0ef92e,3,2,0,1,0,2,0,1,0,0,0,1,1,1,0
1403544,0,1,0,6956057ac490c788,0,1,6b16c87,6b16c87,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1
1414515,1,0,8880aad,0,0,0,64e167e,d4cf115,6,6,0,0,0,6,0,0,0,1,0,0,1,0,0
1419002,0,1,0,2ef03c6a0a8c5705,0,0,New Lines,New Lines,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1424647,0,1,0,d2cbb9a,1,1,d2cbb9a,d2cbb9a,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
