#ID;FFM;BIC;#Token=#BIC;EarliestT;LatestT;NumPCT;SZZFP;SZZFN;SZZTP;SZZ-1EFP;SZZ-1EFN;SZZ-1ETP;SZZ-1EFP;SZZ-1EFN;SZZ-1ETP
1294939;0;1;0;New Lines;New Lines;0;0;1;0;0;1;0;0;1;0
1300788;0;1;0;New Lines;New Lines;0;0;1;0;0;1;0;0;1;0
1305897;1;0;0;New Lines;New Lines;0;0;0;0;0;0;0;0;0;0
1307791;0;1;1;14fa718(no bic);4866045(no bic);8;7;0;1;1;1;0;1;1;0
1314677;0;1;1;88ab936;84b02ca;2;1;0;1;0;0;1;1;1;0
1336127;0;1;1;4db4066 (BIC);21a075d;4;3;0;1;0;0;1;1;1;0
1343080;0;1;1;99c0341d84988f8bbb6e4c25a2305c46246aef28;f5e2d2829c044;2;1;0;1;1;1;0;0;0;1
1350224;1;0;0;dd52437;942b9cd;6;6;0;0;1;0;0;1;0;0
1367363;0;1;1;0fcbb7b;0fcbb7b;1;0;0;1;0;0;1;0;0;1
1370177;0;1;1;33e3d4c6b9;33e3d4c6b9;1;0;0;1;0;0;1;0;0;1
1370590;0;1;1;53469abad39;3eea41e1e98 (BIC);2;1;0;1;1;1;0;0;0;1
1371677;0;1;1;5fa74bc;5fa74bc;1;0;0;1;0;0;1;0;0;1
1373741;1;0;0;New Lines;New Lines;0;0;0;0;0;0;0;0;0;0
1375379;0;1;1;e71e8c2;e71e8c2;1;0;0;1;0;0;1;0;0;1
1381468;0;1;1;30871e870;30871e870;1;0;0;1;0;0;1;0;0;1
1382630;1;0;0;b199471;dce6468;10;10;0;0;1;0;0;1;0;0
1392798;0;1;0;New Lines;New Lines;0;0;1;0;0;1;0;0;1;0
1402535;0;1;1;5dba48b95267fa1270ff;5dba48b95267fa1270ff;1;0;0;1;0;0;1;0;0;1
1402728;0;1;1;a733211;b673ff4;4;3;0;1;1;1;0;1;1;0
1403544;0;1;1;6956057ac490c788;6956057ac490c788;1;0;0;1;0;0;1;0;0;1
1414515;1;0;0;64e167e?;d4cf115?;9;9;0;0;1;0;0;1;0;0
1419002;0;1;0;New Lines;New Lines;0;0;1;0;0;1;0;0;1;0
1424647;0;1;1;d2cbb9a;d2cbb9a;1;0;0;1;0;0;1;0;0;1
1434855;0;1;1;abc656d;abc656d;1;0;0;1;0;0;1;0;0;1
1437855;0;1;1;d7fbf95 (BIC);d75a1ca;3;2;0;1;0;0;1;1;1;0
1438226;1;0;0;fb20cc9 (NOBIC);c29321d (NOBIC);4;4;0;0;1;0;0;1;0;0
1438331;0;1;1;13e2bd0;13e2bd0;1;0;0;1;0;0;1;0;0;1
1441000;0;1;1;7dd6a4a;7dd6a4a;1;0;0;1;0;0;1;0;0;1
1443697;0;1;0;New Lines;New Lines;0;0;1;0;0;1;0;0;1;0
1443970;0;1;1;4476419;231347e;2;1;0;1;0;0;1;1;1;0
1447249;0;1;1;1682c5b;1682c5b;1;0;0;1;0;0;1;0;0;1
1448075;1;0;0;14fa7183550;07641b60f88;5;5;0;0;1;0;0;1;0;0
1449028;1;0;0;976425cc2f5 ;976425cc2f5 ;1;1;0;0;1;0;0;1;0;0
1453274;0;1;1;60c90f7;60c90f7;1;0;0;1;0;0;1;0;0;1
1460875;1;0;0;New Lines;New Lines;0;0;0;0;0;0;0;0;0;0
1466390;0;1;1;501ff41;501ff41;1;0;0;1;0;0;1;0;0;1
1467451;0;1;1;a4a643e1c4f7d1;a5e90dd416efabad50ce5 (BIC);2;1;0;1;1;1;0;0;0;1
1475356;0;1;1;0eb7e35fbf;0eb7e35fbf;1;0;0;1;0;0;1;0;0;1
1475911;0;1;1;e310985;e310985;1;0;0;1;0;0;1;0;0;1
1481078;0;1;0;New Lines;New Lines;0;0;1;0;0;1;0;0;1;0
1481164;0;1;0;New Lines;New Lines;0;0;1;0;0;1;0;0;1;0
1486541;0;1;0;a010630d8c5;7b488940a5b0a09;3;3;1;0;1;1;0;1;1;0
1492255;1;0;0;78ed3ae;78ed3ae;1;1;0;0;1;0;0;1;0;0
1494467;1;0;0;96bb7f9a;96bb7f9a;1;1;0;0;1;0;0;1;0;0
1505471;0;1;1;64e167eb6;64e167eb6;1;0;0;1;0;0;1;0;0;1
1410622;1;0;0;c2e2f63b2f90b26;c2e2f63b2f90b26;1;1;0;0;1;0;0;1;0;0
;;;26;;;87;61;8;26;15;13;21;16;14;20
